Industry,Tickers
Forest Materials,"CENTURYTEX, JKPAPER"
Healthcare,"ABBOTINDIA, AJANTPHARM, APLLTD, ALKEM, APOLLOHOSP, ASTERDM, ASTRAZEN, AUROPHARMA, BIOCON, CAPLIPOINT, CIPLA, CONCORDBIO, DIVISLAB, LALPATHLAB, DRREDDY, ERIS, FDC, FORTIS, GLAND, GLAXO, GLS, GLENMARK, MEDANTA, GRANULES, IPCALAB, JBCHEPHARM, JUBLPHARMA, KIMS, LAURUSLABS, LUPIN, MANKIND, MAXHEALTH, METROPOLIS, NATCOPHARM, NH, PPLPHARMA, POLYMED, RAINBOW, SANOFICONR, SANOFI, SPARC, SUNPHARMA, SUVENPHAR, SYNGENE, TORNTPHARM, VIJAYA, ZYDUSLIFE"
Information Technology,"AFFLE, BSOFT, MAPMYINDIA, COFORGE, CYIENT, HCLTECH, HAPPSTMNDS, INFY, INTELLECT, KPITTECH, LTTS, LTIM, LATENTVIEW, MASTEK, MPHASIS, OFSS, PERSISTENT, SONATSOFTW, TANLA, TCS, TATAELXSI, TATATECH, TECHM, WIPRO, ZENSARTECH"
Media Entertainment & Publication,"NETWORK18, PVRINOX, SAREGAMA, SUNTV, TV18BRDCST, ZEEL"
Metals & Mining,"ADANIENT, GMDCLTD, HINDALCO, HINDCOPPER, HINDZINC, JSWSTEEL, JAIBALAJI, JSL, JINDALSTEL, LLOYDSME, NMDC, NSLNISP, NATIONALUM, SAIL, TATASTEEL, VEDL"
Oil Gas & Consumable Fuels,"ATGL, AEGISLOG, BPCL, CASTROLIND, CHENNPETRO, COALINDIA, GAIL, GUJGASLTD, GSPL, HINDPETRO, IOC, IGL, MGL, MRPL, ONGC, OIL, PETRONET, RELIANCE"
Power,"ADANIENSOL, ADANIGREEN, ADANIPOWER, CESC, JSWENERGY, NHPC, NLCINDIA, NTPC, POWERGRID, SJVN, TATAPOWER, TORNTPOWER"
Realty,"BRIGADE, DLF, GODREJPROP, LODHA, MAHLIFE, OBEROIRLTY, PHOENIXLTD, PRESTIGE, RAYMOND, SIGNATURE, SOBHA, SUNTECK"
Services,"ADANIPORTS, ALLCARGO, BLUEDART, CONCOR, DELHIVERY, FSL, GMRINFRA, GESHIP, GPPL, INDIGO, JSWINFRA, MMTC, QUESS, REDINGTON, TVSSCS, ECLERX"
Telecommunication,"BHARTIARTL, HFCL, ITI, INDUSTOWER, RAILTEL, ROUTE, STLTECH, TATACOMM, TTML, TEJASNET, IDEA"
Textiles,"ALOKINDS, KPRMILL, PAGEIND, TRIDENT, VTL, WELSPUNLIV"
