Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,512.775146484375,512.775146484375,504.51763916015625,507.9601135253906,504.047119140625,11962
2019-01-02,509.3551330566406,517.005126953125,504.5851135253906,513.47265625,509.5172424316406,83004
2019-01-03,514.8001098632812,517.275146484375,507.06011962890625,515.1826171875,511.21405029296875,57053
2019-01-04,515.16015625,533.2276611328125,512.1451416015625,530.505126953125,526.4185180664062,110862
2019-01-07,531.900146484375,538.2001342773438,509.8951416015625,512.8426513671875,508.89208984375,1380872
2019-01-08,516.150146484375,520.380126953125,511.3576354980469,516.5101318359375,512.5313720703125,30677
2019-01-09,517.5001220703125,539.0101318359375,513.6076049804688,528.0076293945312,523.9403076171875,109695
2019-01-10,537.7501220703125,544.5001220703125,528.7276611328125,533.2276611328125,529.1199951171875,206928
2019-01-11,534.6001586914062,539.91015625,524.9476318359375,528.4576416015625,524.3867797851562,39275
2019-01-14,524.2501220703125,526.4776611328125,503.19012451171875,508.14013671875,504.2257385253906,117344
2019-01-15,508.1626281738281,517.5001220703125,508.1626281738281,511.8526306152344,507.90966796875,33791
2019-01-16,513.0001220703125,515.1376342773438,504.0451354980469,510.14263916015625,506.212890625,31975
2019-01-17,510.99761962890625,513.4501342773438,498.57763671875,500.3551330566406,496.5007629394531,136444
2019-01-18,504.0001220703125,504.0001220703125,492.7501220703125,494.5951232910156,490.7851257324219,57657
2019-01-21,494.5951232910156,500.8951110839844,483.30010986328125,485.9101257324219,482.1670227050781,25915
2019-01-22,482.4001159667969,485.5276184082031,467.7301025390625,470.1376037597656,466.51605224609375,283533
2019-01-23,475.6501159667969,482.7601318359375,466.2676086425781,476.2126159667969,472.5442199707031,413755
2019-01-24,476.2126159667969,480.6001281738281,472.5001220703125,474.9076232910156,471.2492980957031,28011
2019-01-25,480.6001281738281,480.6001281738281,459.0901184082031,463.567626953125,459.9966125488281,87697
2019-01-28,461.4751281738281,492.7501220703125,459.4276123046875,487.9801330566406,484.2211608886719,103993
2019-01-29,494.9551086425781,499.9051208496094,473.0401306152344,489.6451110839844,485.8732604980469,54875
2019-01-30,490.5001220703125,516.6001586914062,486.0451354980469,506.8576354980469,502.9531555175781,607219
2019-01-31,504.0001220703125,513.900146484375,500.80511474609375,509.0401306152344,505.11883544921875,46648
2019-02-01,508.5001220703125,519.7051391601562,495.45013427734375,498.1051330566406,494.2680969238281,83171
2019-02-04,499.567626953125,516.7576293945312,498.1501159667969,508.6126403808594,504.69464111328125,54611
2019-02-05,513.0001220703125,528.3001098632812,507.62261962890625,513.337646484375,509.38330078125,56826
2019-02-06,519.2101440429688,537.3001098632812,514.32763671875,527.1751098632812,523.1141357421875,157955
2019-02-07,521.9326171875,535.275146484375,518.0176391601562,521.4151000976562,517.3985595703125,546615
2019-02-08,521.1676025390625,521.1676025390625,492.2101135253906,498.6451110839844,494.803955078125,78859
2019-02-11,495.0001220703125,526.5001220703125,492.50262451171875,514.1026000976562,510.14239501953125,381077
2019-02-12,513.900146484375,519.1876220703125,505.9126281738281,517.5001220703125,513.513671875,184648
2019-02-14,525.150146484375,525.150146484375,504.3376159667969,507.89263916015625,503.9802551269531,79079
2019-02-15,511.20013427734375,516.1276245117188,504.5851135253906,513.337646484375,509.38330078125,142233
2019-02-18,510.3001403808594,517.5001220703125,492.8851318359375,495.45013427734375,491.633544921875,325115
2019-02-19,493.4026184082031,506.2276306152344,493.4026184082031,504.9226379394531,501.03314208984375,68277
2019-02-20,499.8601379394531,506.9251403808594,485.5726318359375,494.2801208496094,490.4725341796875,471924
2019-02-21,490.05010986328125,495.45013427734375,477.4501037597656,483.1876220703125,479.4654541015625,81079
2019-02-22,481.95013427734375,499.5001220703125,475.672607421875,497.3401184082031,493.5089416503906,119297
2019-02-25,502.6051330566406,504.0001220703125,490.74761962890625,494.9551086425781,491.1423034667969,59295
2019-02-26,495.0001220703125,504.8326110839844,483.7501220703125,495.11260986328125,491.29864501953125,78988
2019-02-27,503.9776306152344,503.9776306152344,486.5851135253906,489.9376220703125,486.16351318359375,220817
2019-02-28,495.0001220703125,495.0001220703125,481.5001220703125,486.2701110839844,482.52423095703125,216666
2019-03-01,486.0001220703125,494.1001281738281,486.0001220703125,488.0251159667969,484.26568603515625,75635
2019-03-05,488.2501220703125,504.0001220703125,487.80010986328125,498.2176208496094,494.3797607421875,403286
2019-03-06,499.5001220703125,528.7501220703125,499.5001220703125,524.610107421875,520.56884765625,199086
2019-03-07,528.66015625,554.7376098632812,524.7001342773438,539.775146484375,535.6170654296875,289071
2019-03-08,543.9151611328125,546.6826171875,534.8251342773438,539.9776611328125,535.8179931640625,220991
2019-03-11,544.5001220703125,550.7776489257812,531.5851440429688,545.26513671875,541.0648193359375,225777
2019-03-12,547.8301391601562,569.1151123046875,547.2001342773438,561.2176513671875,556.8944091796875,218402
2019-03-13,562.5001220703125,582.7501220703125,537.8626098632812,544.4326171875,540.2387084960938,157911
2019-03-14,548.797607421875,555.6376342773438,514.1476440429688,520.380126953125,516.37158203125,107415
2019-03-15,519.3001098632812,555.7501220703125,506.2501220703125,519.547607421875,515.5453491210938,1521288
2019-03-18,513.900146484375,516.6226196289062,505.192626953125,511.2226257324219,507.2845458984375,63317
2019-03-19,517.5001220703125,517.5001220703125,496.8226318359375,504.31512451171875,500.4302978515625,165273
2019-03-20,507.6001281738281,510.99761962890625,498.1726379394531,500.24261474609375,496.38909912109375,75699
2019-03-22,500.8501281738281,521.0551147460938,500.8501281738281,515.7001342773438,511.7275085449219,170446
2019-03-25,515.2501220703125,521.5276489257812,492.7951354980469,495.0901184082031,491.27630615234375,190775
2019-03-26,495.9226379394531,501.8401184082031,480.12762451171875,499.7251281738281,495.8755798339844,131217
2019-03-27,504.0001220703125,519.3001098632812,494.1451110839844,512.3251342773438,508.3785095214844,689419
2019-03-28,513.78759765625,524.2501220703125,513.0451049804688,516.5101318359375,512.5313720703125,78395
2019-04-01,526.5001220703125,544.5001220703125,524.6326293945312,539.3251342773438,535.1705322265625,123659
